latitude,longitude,data_hora,temperatura_ar,umidade_relativa,velocidade_vento,direcao_vento,precipitacao,indice_seca,temperatura_superficie,radiacao_solar,concentracao_CO,concentracao_CO2,concentracao_PM25,frp,intensidade_foco,tipo_cobertura_solo,indice_vegetacao_ndvi,deteccao_foco
-10.1005,-50.5278,2025-06-03 05:15:00,29.8,21,7.2,176,1,0.63,52.1,674,0.98,393,50,0,media,pastagem,0.7,1
-10.1942,-50.5114,2025-06-03 05:20:00,33.3,42,5.4,177,0,0.39,39.6,788,1.11,433,44,120,baixa,pastagem,0.58,1
-10.1305,-50.5407,2025-06-03 05:25:00,35.4,42,5.0,139,0,0.53,42.3,945,1.03,383,32,120,nenhuma,solo exposto,0.67,1
-10.1016,-50.5608,2025-06-03 05:30:00,29.0,18,5.3,97,1,0.55,37.1,980,0.25,418,5,0,media,floresta,0.56,0
-10.1761,-50.5587,2025-06-03 05:35:00,38.6,36,2.4,258,3,0.75,49.7,518,0.89,451,46,90,nenhuma,solo exposto,0.45,0
-10.1858,-50.5304,2025-06-03 05:40:00,37.6,26,3.8,223,0,0.31,39.9,694,0.88,404,22,200,alta,solo exposto,0.77,1
-10.1879,-50.5997,2025-06-03 05:45:00,34.1,59,1.3,158,0,0.46,42.8,829,1.31,456,52,200,nenhuma,floresta,0.52,0
-10.1697,-50.538,2025-06-03 05:50:00,39.6,17,4.3,261,0,0.61,36.3,923,0.6,411,44,120,nenhuma,floresta,0.56,0
-10.1899,-50.5645,2025-06-03 05:55:00,33.0,36,4.8,210,0,0.46,54.7,674,0.59,438,37,150,nenhuma,floresta,0.33,1
-10.1308,-50.5206,2025-06-03 06:00:00,39.8,58,2.6,153,1,0.68,37.3,989,0.95,442,16,0,nenhuma,pastagem,0.58,1
-10.1938,-50.5907,2025-06-03 06:05:00,36.0,16,7.7,246,0,0.59,49.3,948,0.97,417,12,0,nenhuma,solo exposto,0.54,1
-10.1491,-50.5412,2025-06-03 06:10:00,35.6,38,7.4,245,0,0.52,40.7,912,0.73,432,28,120,baixa,floresta,0.31,1
-10.1003,-50.5519,2025-06-03 06:15:00,30.0,48,6.1,228,0,0.87,35.2,933,0.69,446,20,0,alta,solo exposto,0.24,1
-10.1186,-50.5358,2025-06-03 06:20:00,38.6,41,4.7,210,0,0.68,50.0,853,0.77,407,54,90,media,pastagem,0.56,0
-10.1385,-50.5935,2025-06-03 06:25:00,33.1,55,7.1,154,0,0.38,38.3,998,1.3,382,8,0,nenhuma,pastagem,0.66,1
-10.1694,-50.542,2025-06-03 06:30:00,29.9,15,1.9,196,0,0.64,51.6,640,0.72,459,42,120,baixa,floresta,0.51,0
-10.1376,-50.5439,2025-06-03 06:35:00,28.2,22,6.5,236,2,0.77,52.9,745,1.41,401,48,0,nenhuma,floresta,0.34,0
